event_id,true_x,true_y,true_z,S1e,S2e,xmax,ymax,xpos,ypos
94,25.20988,104.91532,240.31963,88,51249,31.1,93.3,28.319536613312778,96.87360409564852
95,-255.40686,-186.87236,828.70685,90,52152,-248.8,-186.6,-248.88687336671288,-187.22919438533012
96,464.9219,127.38011,96.32741,92,67676,466.5,124.4,459.73575,126.90599254891893
97,26.906584,373.79825,688.26855,108,54002,31.1,373.2,29.99585822291628,374.5126693923752
98,-237.7376,343.88696,1076.0106,116,57705,-233.25,342.1,-234.78453947368422,341.2300732592603
99,-63.31276,-1.815126,219.25548,122,50741,-62.2,-0.0,-62.92325623978016,-1.3670329670329675
100,196.12411,2.2028859,1063.5116,100,52284,202.15,0.0,200.49943789689905,0.1993589743589745
101,-208.7884,-435.8118,67.75201,98,69449,-217.7,-435.4,-210.80590997705315,-429.9485610786525
102,-60.340923,356.20633,462.4603,97,54049,-62.2,357.65,-61.47860870754596,356.84568625263785
103,-62.981373,317.95853,55.83249,92,51220,-62.2,326.55,-61.43104432074579,322.6624939614154
104,-261.85013,-372.71097,929.8932,103,61142,-264.35,-373.2,-263.34382722742413,-373.0044095789111
105,-121.5785,-443.89853,871.9939,93,61585,-124.4,-450.95,-123.98255115483433,-449.6023399251302
106,-291.53958,282.8571,1188.8877,98,55102,-279.9,279.9,-283.6368182514989,280.6506859088766
107,299.27646,59.25392,12.9962225,83,53642,295.45,62.2,298.54490937168157,59.65677611805569
108,-141.5279,-76.8118,1004.25336,113,52069,-139.95,-77.75,-140.8924224668561,-78.2893063583815
109,-199.65996,-184.00218,15.188567,59,51968,-202.15,-186.6,-199.53188423623848,-183.95137694641784
110,-155.40695,-435.37314,1202.2811,104,63203,-155.5,-435.4,-155.02878787878788,-436.72743560046683
111,80.57262,-199.59703,649.06,94,52343,77.75,-202.15,80.48892045454545,-201.6043826811495
112,-213.25412,424.5981,140.97067,101,66824,-217.7,419.85,-215.5656846887925,422.6835590006511
113,323.6199,335.32907,1077.1881,98,62998,326.55,342.1,325.9974551747898,341.3002887486049
114,-200.07254,-93.4197,1108.7513,97,51545,-202.15,-93.3,-201.60246147907958,-92.6196893119812
115,148.07143,464.1942,393.78818,111,53667,139.95,466.5,135.47937412261962,459.3117924528302
116,423.98648,-73.13529,1066.0022,112,58421,419.85,-62.2,422.34708341055546,-66.50777068782497
